sample	State	Country	Year	sampleID
1800-US-AZ	US-AZ	US	1800	1800-US-AZ
1800-US-CT	US-CT	US	1800	1800-US-CT
1800-US-FL	US-FL	US	1800	1800-US-FL
1800-US-NC	US-NC	US	1800	1800-US-NC
1800-US-NJ	US-NJ	US	1800	1800-US-NJ
1800-US-NY	US-NY	US	1800	1800-US-NY
1802-US-PA	US-PA	US	1802	1802-US-PA
1804-US-PA	US-PA	US	1804	1804-US-PA
1805-US-WA	US-WA	US	1805	1805-US-WA
1806-US-PA	US-PA	US	1806	1806-US-PA
1810-US-KY	US-KY	US	1810	1810-US-KY
1810-US-TN	US-TN	US	1810	1810-US-TN
1813-US-NJ	US-NJ	US	1813	1813-US-NJ
1817-US-AK	US-AK	US	1817	1817-US-AK
1817-US-NJ	US-NJ	US	1817	1817-US-NJ
1818-US-PA	US-PA	US	1818	1818-US-PA
1820-US-NJ	US-NJ	US	1820	1820-US-NJ
1820-US-TN	US-TN	US	1820	1820-US-TN
1822-CA-NT	CA-NT	CA	1822	1822-CA-NT
1823-US-FL	US-FL	US	1823	1823-US-FL
1823-US-MI	US-MI	US	1823	1823-US-MI
1825-US-PA	US-PA	US	1825	1825-US-PA
1826-US-AK	US-AK	US	1826	1826-US-AK
1826-US-AL	US-AL	US	1826	1826-US-AL
1827-US-PA	US-PA	US	1827	1827-US-PA
1831-CA-NU	CA-NU	CA	1831	1831-CA-NU
1831-US-FL	US-FL	US	1831	1831-US-FL
1831-US-TN	US-TN	US	1831	1831-US-TN
1832-US-CT	US-CT	US	1832	1832-US-CT
1835-US-WA	US-WA	US	1835	1835-US-WA
1835-US-WV	US-WV	US	1835	1835-US-WV
1837-CA-NT	CA-NT	CA	1837	1837-CA-NT
1837-CA-ON	CA-ON	CA	1837	1837-CA-ON
1837-US-TX	US-TX	US	1837	1837-US-TX
1838-US-AL	US-AL	US	1838	1838-US-AL
1840-US-MI	US-MI	US	1840	1840-US-MI
1842-US-AK	US-AK	US	1842	1842-US-AK
1843-US-AK	US-AK	US	1843	1843-US-AK
1843-US-CT	US-CT	US	1843	1843-US-CT
1843-US-DC	US-DC	US	1843	1843-US-DC
1843-US-IA	US-IA	US	1843	1843-US-IA
1844-US-DC	US-DC	US	1844	1844-US-DC
1845-US-WI	US-WI	US	1845	1845-US-WI
1846-US-WI	US-WI	US	1846	1846-US-WI
1847-US-NM	US-NM	US	1847	1847-US-NM
1848-CA-NT	CA-NT	CA	1848	1848-CA-NT
1848-CA-ON	CA-ON	CA	1848	1848-CA-ON
1848-US-WI	US-WI	US	1848	1848-US-WI
1849-US-AK	US-AK	US	1849	1849-US-AK
1849-US-CT	US-CT	US	1849	1849-US-CT
1850-US-AK	US-AK	US	1850	1850-US-AK
1850-US-CA	US-CA	US	1850	1850-US-CA
1850-US-CT	US-CT	US	1850	1850-US-CT
1850-US-MA	US-MA	US	1850	1850-US-MA
1850-US-WI	US-WI	US	1850	1850-US-WI
1851-US-AK	US-AK	US	1851	1851-US-AK
1851-US-RI	US-RI	US	1851	1851-US-RI
1851-US-WI	US-WI	US	1851	1851-US-WI
1852-US-AK	US-AK	US	1852	1852-US-AK
1852-US-MA	US-MA	US	1852	1852-US-MA
1852-US-WI	US-WI	US	1852	1852-US-WI
1853-CA-QC	CA-QC	CA	1853	1853-CA-QC
1853-US-CT	US-CT	US	1853	1853-US-CT
1853-US-NY	US-NY	US	1853	1853-US-NY
1854-CA-NS	CA-NS	CA	1854	1854-CA-NS
1854-US-AR	US-AR	US	1854	1854-US-AR
1854-US-MA	US-MA	US	1854	1854-US-MA
1854-US-NM	US-NM	US	1854	1854-US-NM
1854-US-TX	US-TX	US	1854	1854-US-TX
1855-US-OR	US-OR	US	1855	1855-US-OR
1855-US-WI	US-WI	US	1855	1855-US-WI
1856-US-NJ	US-NJ	US	1856	1856-US-NJ
1856-US-NM	US-NM	US	1856	1856-US-NM
1856-US-WA	US-WA	US	1856	1856-US-WA
1857-US-CT	US-CT	US	1857	1857-US-CT
1857-US-NJ	US-NJ	US	1857	1857-US-NJ
1858-CA-NT	CA-NT	CA	1858	1858-CA-NT
