otu	Order	Family	Genus	Species
Abeillia abeillei	Caprimulgiformes	Trochilidae	Abeillia	Abeillia abeillei
Abroscopus albogularis	Passeriformes	Scotocercidae	Abroscopus	Abroscopus albogularis
Abroscopus schisticeps	Passeriformes	Scotocercidae	Abroscopus	Abroscopus schisticeps
Abroscopus superciliaris	Passeriformes	Scotocercidae	Abroscopus	Abroscopus superciliaris
Aburria aburri	Galliformes	Cracidae	Aburria	Aburria aburri
Acanthagenys rufogularis	Passeriformes	Meliphagidae	Acanthagenys	Acanthagenys rufogularis
Acanthidops bairdi	Passeriformes	Thraupidae	Acanthidops	Acanthidops bairdi
Acanthis cabaret	Passeriformes	Fringillidae	Acanthis	Acanthis cabaret
Acanthis flammea	Passeriformes	Fringillidae	Acanthis	Acanthis flammea
Acanthis hornemanni	Passeriformes	Fringillidae	Acanthis	Acanthis hornemanni
Acanthisitta chloris	Passeriformes	Acanthisittidae	Acanthisitta	Acanthisitta chloris
Acanthiza apicalis	Passeriformes	Acanthizidae	Acanthiza	Acanthiza apicalis
Acanthiza chrysorrhoa	Passeriformes	Acanthizidae	Acanthiza	Acanthiza chrysorrhoa
Acanthiza cinerea	Passeriformes	Acanthizidae	Acanthiza	Acanthiza cinerea
Acanthiza ewingii	Passeriformes	Acanthizidae	Acanthiza	Acanthiza ewingii
Acanthiza inornata	Passeriformes	Acanthizidae	Acanthiza	Acanthiza inornata
Acanthiza iredalei	Passeriformes	Acanthizidae	Acanthiza	Acanthiza iredalei
Acanthiza katherina	Passeriformes	Acanthizidae	Acanthiza	Acanthiza katherina
Acanthiza lineata	Passeriformes	Acanthizidae	Acanthiza	Acanthiza lineata
Acanthiza murina	Passeriformes	Acanthizidae	Acanthiza	Acanthiza murina
Acanthiza nana	Passeriformes	Acanthizidae	Acanthiza	Acanthiza nana
Acanthiza pusilla	Passeriformes	Acanthizidae	Acanthiza	Acanthiza pusilla
Acanthiza reguloides	Passeriformes	Acanthizidae	Acanthiza	Acanthiza reguloides
Acanthiza robustirostris	Passeriformes	Acanthizidae	Acanthiza	Acanthiza robustirostris
Acanthiza uropygialis	Passeriformes	Acanthizidae	Acanthiza	Acanthiza uropygialis
Acanthorhynchus superciliosus	Passeriformes	Meliphagidae	Acanthorhynchus	Acanthorhynchus superciliosus
Acanthorhynchus tenuirostris	Passeriformes	Meliphagidae	Acanthorhynchus	Acanthorhynchus tenuirostris
Acanthornis magna	Passeriformes	Acanthizidae	Acanthornis	Acanthornis magna
